mlbid,fullname,firstname,lastname,position,priority_pos,projection_name,ip,w,sv,k,era,whip,w_zscore,sv_zscore,k_zscore,era_zscore,whip_zscore,unadjusted_zsum,replacement_pos,adjustment_zscore,final_zsum,value,hit_pitch
456068.0,Miguel Gonzalez,Miguel,Gonzalez,SP,SP,steamer,139.0,7.0,0.0,105.0,4.92,1.41,0.3166913290661893,-0.6192333315455485,0.12383105663309829,-1.7721465845408804,-1.211798879316839,-3.16265640970398,SP,0.6596060982602885,-2.5030503114436917,-25.7,p
502706.0,Derek Holland,Derek,Holland,SP,SP,steamer,109.0,6.0,0.0,82.0,4.81,1.43,0.07018564590115549,-0.6192333315455485,-0.2925430139951473,-0.9724966034794683,-0.6086851950079584,-2.422772498126967,SP,0.6596060982602885,-1.7631663998666784,-17.8,p
518858.0,Nate Jones,Nate,Jones,RP,RP,steamer,65.0,3.0,1.0,74.0,3.28,1.19,-0.6693314035939459,-0.5384637665613465,-0.4373687776919284,0.5862671825246336,0.5716858541429225,-0.48721091117966475,RP,-0.07979051039360607,-0.5670014215732708,-5.1,p
502085.0,David Robertson,David,Robertson,RP,RP,steamer,65.0,3.0,32.0,75.0,3.57,1.24,-0.6693314035939459,1.9653927479489146,-0.4192655572298308,0.4918163889723584,0.5228294365456179,1.8914416126431142,RP,-0.07979051039360607,1.811651102249508,20.3,p
592229.0,Dylan Covey,Dylan,Covey,SP,SP,steamer,65.0,3.0,0.0,40.0,5.7,1.62,-0.6693314035939459,-0.6192333315455485,-1.052878273403248,-0.2019084050495258,0.15152066280610216,-2.3918307507861662,SP,0.6596060982602885,-1.7322246525258778,-17.5,p
474029.0,Zach Putnam,Zach,Putnam,RP,RP,steamer,55.0,3.0,0.0,57.0,3.88,1.34,-0.6693314035939459,-0.6192333315455485,-0.7451235255475882,0.5852650520890657,0.6265553692906646,-0.8218678393073524,RP,-0.07979051039360607,-0.9016583497009585,-8.6,p
543359.0,Dan Jennings,Dan,Jennings,RP,RP,steamer,55.0,3.0,1.0,44.0,4.13,1.47,-0.6693314035939459,-0.5384637665613465,-0.9804653915548575,0.516368584643772,0.5190712505765944,-1.1528207264897836,RP,-0.07979051039360607,-1.2326112368833897,-12.2,p
608337.0,Lucas Giolito,Lucas,Giolito,SP,SP,steamer,54.0,3.0,0.0,46.0,4.99,1.51,-0.6693314035939459,-0.6192333315455485,-0.9442589506306622,0.304367890999381,0.5086986573020896,-1.419757137468686,SP,0.6596060982602885,-0.7601510392083974,-7.1,p
573589.0,Michael Ynoa,Michael,Ynoa,RP,RP,steamer,45.0,2.0,0.0,40.0,4.8,1.52,-0.9158370867589798,-0.6192333315455485,-1.052878273403248,0.5722373564266829,0.7062289118339614,-1.309482423447132,RP,-0.07979051039360607,-1.3892729338407381,-13.8,p
571476.0,Chris Beck,Chris,Beck,SP,SP,steamer,43.0,2.0,0.0,32.0,4.94,1.5,-0.9158370867589798,-0.6192333315455485,-1.1977040371000292,0.5901754912233483,0.764856612950727,-1.377742351230482,SP,0.6596060982602885,-0.7181362529701936,-6.7,p
502593.0,Jake Petricka,Jake,Petricka,RP,RP,steamer,40.0,2.0,0.0,35.0,3.84,1.44,-0.9158370867589798,-0.6192333315455485,-1.1433943757137361,0.8849020523238701,0.868582545695774,-0.9249801959986204,RP,-0.07979051039360607,-1.0047707063922264,-9.7,p
461872.0,Anthony Swarzak,Anthony,Swarzak,RP,RP,steamer,35.0,2.0,0.0,33.0,3.88,1.28,-0.9158370867589798,-0.6192333315455485,-1.1796008166379315,0.9740916610894139,1.061001667309774,-0.6795779065432719,RP,-0.07979051039360607,-0.759368416936878,-7.1,p
